彖	彑𧰨 hu
𧿼	𧾷瓜 zg
𧿽	𧾷口 zk
𨀀	𧾷小 zx
𨀄	𧾷瓦 zw
𨀅	𧾷冉 zr
𨀕	𧾷王 zw
𨀖	𧾷人 zr
𨀘	𧾷羊 zy
𨀙	𧾷口 zk
𨀛	𧾷子 zz
𨀜	𧾷口 zk
𨀝	𧾷又 zy
𨀟	𧾷七 zq
𨀠	𧾷干 zg
𨀤	𧾷耒 zl
𨀥	𧾷欠 zq
𨀧	𧾷丞 zi
𨀨	𧾷夕 zx
𨀫	𧾷几 zj
𨀬	𧾷土 zt
𨀮	𧾷⺝ zo
𨀯	𧾷⻏ ze
𨀳	𧾷戈 zg
𨀴	𧾷日 zo
𨀸	𧾷七 zq
𨁁	𧾷疋 zz
𨁂	𧾷人 zr
𨁃	𧾷𢎨 zd
𨁄	𧾷干 zg
𨁅	𧾷辛 zx
𨁆	𧾷正 zv
𨁇	𧾷口 zk
𨁈	𧾷更 zg
𨁉	𧾷木 zm
𨁊	𧾷㇇ zv
𨁋	𧾷䒑 zb
𨁌	𧾷⻏ ze
𨁍	𧾷見 zj
𨁎	𧾷王 zw
𨁏	𧾷甫 zf
𨁐	𧾷廾 zc
𨁑	𧾷兄 zx
𨁒	𧾷口 zk
𨁗	𧾷壬 zw
𨁟	𧾷我 zw
𨁠	𧾷土 zt
𨁡	𧾷女 zn
𨁶	𧾷亞 zy
𨁸	𧾷犬 zq
𨁹	𧾷火 zh
𨁺	𧾷八 zb
𨁽	𧾷寸 zc
𨁿	𧾷豖 zu
𨂀	𧾷且 zq
𨂁	𧾷电 zd
𨂂	𧾷火 zh
𨂃	𧾷月 zo
𨂅	𧾷小 zx
𨂇	𧾷止 zv
𨂐	𧾷來 zl
𨂜	𧾷几 zj
𨂞	足业 zy
𨂠	𧾷頁 zy
𨂡	𧾷天 zt
𨂦	𧾷𧰨 zu
𨂩	𧾷殳 zu
𨂪	𧾷彡 zp
𨂫	𧾷屰 zn
𨂭	𧾷母 zm
𨂯	𧾷更 zg
𨂰	𧾷大 zd
𨂱	𧾷車 zi
𨂲	𧾷开 zk
𨂴	𧾷心 zx
𨂵	𧾷臼 zj
𨃃	𧾷人 zr
𨃅	𧾷丰 zf
𨃇	𧾷女 zn
𨃓	𧾷朩 zm
𨃕	𧾷田 zt
𨃖	𧾷丂 zk
𨃘	𧾷屮 zc
𨃙	𧾷木 zm
𨃚	𧾷口 zk
𨃛	𧾷辛 zx
𨃟	𧾷殳 zu
𨃣	𧾷虫 zi
𨃤	𧾷口 zk
𨃭	𧾷木 zm
𨃯	𧾷寸 zc
𨃰	𧾷兼 zj
𨃳	𧾷匕 zb
𨄅	𧾷口 zk
𨄇	𧾷氺 zu
𨄈	𧾷木 zm
𨄉	𧾷生 zu
𨄊	𧾷示 zu
𨄋	𧾷雨 zy
𨄌	𧾷白 zb
𨄐	𧾷糸 zx
𨄓	𧾷果 zg
𨄔	𧾷寸 zc
𨄕	𧾷矢 zu
𨄗	𧾷隶 zl
𨄛	𧾷氺 zu
𨄮	𧾷十 zu
𨄰	𧾷長 zi
𨄱	𧾷糸 zx
𨅅	𧾷支 zv
𨅊	𧾷攵 zw
𨅋	𧾷𣶒 zp
𨅍	𧾷日 zo
𨅎	𧾷又 zy
𨅏	𧾷風 zf
𨅑	𧾷頁 zy
𨅒	𧾷寸 zc
𨅓	𧾷日 zo
𨅔	𧾷曰 zo
𨅗	𧾷聿 zy
𨅘	士足 tz
𨅝	𧾷牙 zy
𨅣	𧾷土 zt
𨅤	𧾷月 zo
𨆁	𧾷旦 zd
𨆂	𧾷韭 zj
𨆃	𧾷示 zu
𨆄	𧾷疋 zz
𨆅	𧾷干 zg
𨆇	𧾷甲 zj
𨆈	𧾷𧘇 zy
𨆉	𧾷田 zt
𨆌	𧾷頁 zy
𨆍	𧾷人 zr
𨆎	𧾷十 zu
𨆏	𧾷豕 zu
𨆙	𧾷必 zb
𨆨	𧾷貝 zb
𨆬	足足 zz
𨆰	𧾷灬 zh
𨆱	𧾷几 zj
𨆲	𧾷心 zx
𨆵	𧾷頁 zy
𨆽	𧾷么 zm
𨆾	𧾷示 zu
𨇁	𧾷八 zb
𨇃	𧾷貝 zb
𨇄	𧾷夂 zw
𨇅	𧾷氺 zu
𨇆	𧾷丶 zd
𨇍	𧾷車 zi
𨇎	𧾷王 zw
𨇕	𧾷卄 zc
𨇖	𧾷皿 zm
𨇗	𧾷止 zv
𨇙	𧾷巾 zj
𨇝	𧾷臼 zj
𨇤	𧾷羊 zy
𨇦	𧾷韭 zj
𨇨	𧾷辛 zx
𨇩	𧾷兔 zt
𨇯	𧾷又 zy
𨇻	𧾷非 zf
𨇼	𧾷糸 zx
𨈀	𧾷頁 zy
𨈈	𧾷且 zq
𨈊	𧾷弓 zg
𨈋	𧾷卄 zc
𨈌	𧾷心 zx
𨈎	𧾷鳥 zn
𨈓	身小 ux
𨈕	身⻏ ue
𨈘	身少 uu
𨈚	身匕 ub
𨈥	身毛 um
𨈧	身丨 ul
𨈫	身主 uv
𨈮	身申 uu
𨈶	身母 um
𨈷	身匕 ub
𨈹	身口 uk
𨈺	身老 ul
𨉁	身光 ug
𨉃	亻身 ru
𨉅	身丌 uw
𨉋	身兄 ux
𨉖	門身 mu
𨉚	身电 ud
𨉜	身口 uk
𨉝	身㔾 uv
𨉡	身士 ut
𨉢	身重 uv
𨉤	身王 uw
𨉥	身面 um
𨉩	身日 uo
𨉪	身人 ur
𨉫	身口 uk
𨉬	身丁 ud
𨉭	身目 uo
𨉱	身𢎥 ug
𨉴	身耳 ue
𨉷	身谷 ug
𨉸	身馬 um
𨉽	身王 uw
𨉾	身目 uo
𨊅	身兀 uw
𨊉	身毛 um
𨊔	身皿 um
𨊘	身心 ux
𨊚	身石 uu
𨊛	身止 uv
𨊞	身耳 ue
𨊡	車丁 id
𨊢	𤰔厶 is
𨊧	車工 ig
𨊰	車乙 iv
𨊱	車于 iy
𨊳	車心 ix
𨊸	車月 io
𨊹	車巴 ib
𨊺	車止 iv
𨊼	車尹 iy
𨋀	車丑 ii
𨋈	車水 iu
𨋐	車瓦 iw
𨋒	車廾 ic
𨋔	車玉 iy
𨋕	車卩 ie
𨋖	車卩 ie
𨋗	車匕 ib
𨋘	車乍 iv
𨋙	車申 iu
𨋛	車力 il
𨋝	車力 il
𨋞	車巾 ij
𨋡	出車 ii
𨋥	車弗 if
𨋦	車又 iy
𨋧	白車 bi
𨋨	車艮 ig
𨋩	車犬 iq
𨋫	車兆 iv
𨋬	了車 li
𨋯	車曳 iy
𨋰	車欠 iq
𨋲	車水 iu
𨋷	車工 ig
𨋽	車羊 iy
𨋾	車习 ix
𨌁	車日 io
𨌆	車厶 is
𨌈	車身 iu
𨌍	車辛 ix
𨌎	車朩 im
𨌑	車辰 ii
𨌔	車兄 ix
𨌝	車丶 id
𨌠	車⺢ iu
𨌣	車内 in
𨌧	車电 id
𨌩	車口 ik
𨌫	車㔾 iv
𨌬	車十 iu
𨌮	車氐 iu
𨌰	車龰 iz
𨌳	車⺝ io
𨌶	車目 io
𨍆	車曰 io
𨍇	車口 ik
𨍊	車火 ih
𨍑	車日 io
𨍒	臣車 ii
𨍛	車母 im
𨍜	車八 ib
𨍞	車央 iy
𨍢	車口 ik
𨍧	車王 iw
𨍩	車方 if
𨍫	車木 im
𨍴	車口 ik
𨍷	車耳 ie
𨍸	車田 it
𨍹	車鬼 ig
𨍺	車支 iv
𨎋	車土 it
𨎌	土車 ti
𨎍	車隶 il
𨎔	車天 it
𨎖	龸車 xi
𨎗	車彡 ip
𨎛	車木 im
𨎝	車曰 io
𨎡	車戈 ig
𨎢	車心 ix
𨎤	車䒑 ib
𨎧	車彡 ip
𨎩	車八 ib
𨎫	車月 io
𨎬	車兀 iw
𨎳	車丰 if
𨎴	車田 it
𨎷	車兼 ij
𨎸	車木 im
𨎹	車禾 ih
𨎾	車貝 ib
𨏂	車車 ii
𨏒	車石 iu
𨏔	車貝 ib
𨏚	車革 ig
𨏠	車龍 il
𨏤	車八 ib
𨏥	車心 ix
𨏨	車业 iy
𨏫	車寸 ic
𨏴	車耳 ie
𨏵	車夂 iw
𨏹	車又 iy
𨐁	車且 iq
𨐍	彡辛 px
𨐐	立⺃ lv
𨐑	辛允 xy
𨐡	辛古 xg
𨐣	辛木 xm
𨐥	辛革 xg
𨐦	辛風 xf
𨐩	辛兼 xj
𨐱	辛辛 xx
𨐾	⺄口 vk
𨑊	夕辰 xi
𨑎	辶亅 zl
𨑑	辶亡 zw
𨑒	辶土 zt
𨑜	辶下 zx
𨑝	辶𡿨 zv
𨑠	辶彳 zr
𨑣	辶夬 zg
𨑤	辶支 zv
𨑥	辶勿 zw
𨑨	辶日 zo
𨑪	辶公 zg
𨑫	辶尤 zy
𨑿	辶十 zu
𨒀	辶刀 zd
𨒃	辶半 zb
𨒅	辶只 zv
𨒇	辶甲 zj
𨒊	辶人 zr
𨒍	辶廾 zc
𨒑	辶巨 zj
𨒙	辶石 zu
𨒜	辶必 zb
𨒞	辶出 zi
𨒢	辶𧘇 zy
𨒤	辶匕 zb
𨒦	辶卩 ze
𨒧	辶曳 zy
𨒨	辶人 zr
𨒩	辶而 ze
𨒫	辶羊 zy
𨒬	辶土 zt
𨒮	辶欠 zq
𨒱	辶共 zg
𨒲	辶未 zw
𨒼	彡艮 pg
𨒽	辶屮 zc
𨓁	辶幺 zy
𨓇	辶巾 zj
𨓍	辶手 zu
𨓚	辶兄 zx
𨓦	辶里 zl
𨓨	辶用 zy
𨓩	辶火 zh
𨓭	辶又 zy
𨓯	辶𣶒 zp
𨓲	辶𫶧 zi
𨓴	辶卩 ze
𨓷	辶壬 zw
𨓿	辶非 zf
𨔙	辶石 zu
𨔛	辶几 zj
𨔢	辶虫 zi
𨔣	辶口 zk
𨔤	辶力 zl
𨕗	辶飛 zf
𨕚	辶日 zo
𨕠	辶乍 zv
𨕢	辶田 zt
𨕹	辶旦 zd
𨕺	辶口 zk
𨕻	辶艮 zg
𨕿	辶王 zw
𨖃	辶勿 zw
𨖊	辶貝 zb
𨖋	辶龰 zz
𨖌	辶永 zy
𨖎	辶口 zk
𨖚	辶小 zx
𨖛	辶于 zy
𨖠	辶卄 zc
𨖬	辶生 zu
𨖭	辶土 zt
𨖰	辶六 zl
𨖱	辶牛 zn
𨖳	辶𣶒 zp
𨖴	辶灬 zh
𨖵	辶灬 zh
𨖶	辶𧰨 zu
𨖷	辶聿 zy
𨖹	辶土 zt
𨖾	辶糸 zx
𨖿	辶爲 zw
𨗓	辶自 zz
𨗞	辶口 zk
𨗡	辶口 zk
𨗥	辶日 zo
𨗨	辶㐄 zf
𨗰	辶糸 zx
𨗼	辶巾 zj
𨗾	辶羊 zy
𨘁	辶糸 zx
𨘂	辶夕 zx
𨘃	辶㠯 zl
𨘄	辶火 zh
𨘌	辶口 zk
𨘙	辶車 zi
𨘬	辶巾 zj
𨘮	辶夕 zx
𨘲	辶土 zt
𨘴	辶非 zf
𨘵	辶見 zj
𨘸	辶止 zv
𨙀	辶殳 zu
𨙂	辶糸 zx
𨙄	辶卄 zc
𨙏	辶十 zu
𨙓	辶耳 ze
𨙡	辶鳥 zn
𨙩	十⻏ ue
𨙫	口⻏ ke
𨙬	己⻏ je
𨙭	土⻏ te
𨙮	凡⻏ fe
𨙯	寸⻏ ce
𨙳	叉⻏ ie
𨙴	才⻏ ce
𨙶	十⻏ ue
𨙷	井⻏ je
𨙹	少⻏ ue
𨙺	丑⻏ ie
𨙽	𠆢⻏ re
𨚍	匕⻏ be
𨚓	弗⻏ fe
𨚔	包⻏ be
𨚖	止⻏ ve
𨚘	未⻏ we
𨚙	口⻏ ke
𨚣	正⻏ ve
𨚧	力⻏ le
𨚮	白⻏ be
𨚯	冂⻏ ke
𨚰	日⻏ oe
𨚱	了⻏ le
𨚲	𠂇⻏ ue
𨚳	亡⻏ we
𨚴	女⻏ ne
𨚶	年⻏ ne
𨛉	⺈⻏ de
𨛊	犭⻏ qe
𨛋	里⻏ le
𨛍	⺌⻏ xe
𨛎	日⻏ oe
𨛏	土⻏ te
𨛑	己⻏ je
𨛒	止⻏ ve
𨛓	王⻏ we
𨛔	不⻏ be
𨛕	⺊⻏ be
𨛖	⺊⻏ be
𨛣	𠆢⻏ re
𨛤	豕⻏ ue
𨛥	⺈⻏ de
𨛭	𠆢⻏ re
𨛮	尸⻏ ue
𨛯	宀⻏ be
𨛰	爫⻏ ve
𨛱	宀⻏ be
𨛳	卄⻏ ce
𨛵	虍⻏ he
𨛶	爫⻏ ve
𨜌	宀⻏ be
𨜍	日⻏ oe
𨜎	厶⻏ se
𨜏	乃⻏ ne
𨜐	田⻏ te
𨜑	目⻏ oe
𨜒	丰⻏ fe
𨜓	⺊⻏ be
𨜔	白⻏ be
𨜗	勿⻏ we
𨜘	尸⻏ ue
𨜜	少⻏ ue
𨜰	𦍌⻏ ye
𨜱	宀⻏ be
𨜳	宀⻏ be
𨜶	丷⻏ be
𨜷	亠⻏ we
𨜺	公⻏ ge
𨜻	虍⻏ he
𨜼	覀⻏ xe
𨜽	户⻏ he
𨜾	𠆢⻏ re
𨜿	出⻏ ie
𨝀	鬼⻏ ge
𨝆	可⻏ ke
𨝈	亻⻏ re
𨝋	𱼀⻏ xe
𨝌	十⻏ ue
𨝍	覀⻏ xe
𨝎	广⻏ ge
𨝐	厶⻏ se
𨝑	毌⻏ me
𨝓	覀⻏ xe
𨝖	巛來 vl
𨝘	虍⻏ he
𨝛	艹⻏ ce
𨝜	土⻏ te
𨝦	龸巴 xb
𨝨	扌⻏ fe
𨝯	立⻏ le
𨝰	夭⻏ ye
𨝱	亻⻏ re
𨝲	自⻏ ze
𨝳	止⻏ ve
𨝴	廿⻏ ce
𨝵	木⻏ me
𨞎	口⻏ ke
𨞐	成⻏ ie
𨞑	巛犬 vq
𨞓	丿⻏ pe
𨞕	⺫⻏ se
𨞗	尹⻏ ye
𨞛	艹⻏ ce
𨞢	十⻏ ue
𨞣	止⻏ ve
𨞨	艹⻏ ce
𨞪	土⻏ te
𨞫	艹⻏ ce
𨞲	龵⻏ ue
𨞶	自⻏ ze
𨞷	夭⻏ ye
𨞺	厂⻏ ie
𨞼	艹⻏ ce
𨞾	𦥑⻏ je
𨞿	𦍌⻏ ye
𨟃	彳⻏ re
𨟊	斤⻏ je
𨟑	厂⻏ ie
𨟖	广⻏ ge
𨟗	艹⻏ ce
𨟙	貝⻏ be
𨟚	衣⻏ ye
𨟥	石⻏ ue
𨟲	弋酉 yy
𨟵	酉匕 yb
𨟸	酉勿 yw
𨟹	酉㇇ yv
𨟼	酉几 yj
𨟾	酉氏 yu
𨠋	酉瓜 yg
𨠌	酉冬 yd
𨠎	酉龴 ys
𨠏	酉氐 yu
𨠐	酉匕 yb
𨠔	酉必 yb
𨠖	酉包 yb
𨠟	酉平 yp
𨠤	酉十 yu
𨠥	酉㔾 yv
𨠦	酉父 yf
𨠬	酉老 yl
𨠶	酉巴 yb
𨠿	酉人 yr
𨡁	酉見 yj
𨡂	酉巾 yj
𨡃	酉丰 yf
𨡄	酉口 yk
𨡌	酉女 yn
𨡎	酉心 yx
𨡏	酉八 yb
𨡐	牛酉 ny
𨡑	酉口 yk
𨡒	酉𦈢 yv
𨡗	酉弓 yg
𨡣	𠆢酉 ry
𨡤	酉因 yy
𨡫	酉車 yi
𨡱	酉古 yg
𨡲	酉火 yh
𨡴	酉酉 yy
𨢂	酉⺝ yo
𨢅	丷十 bu
𨢆	酉木 ym
𨢇	酉田 yt
𨢉	酉䒑 yb
𨢌	酉鬲 yg
𨢎	酉六 yl
𨢐	酉方 yf
𨢑	酉兼 yj
𨢠	酉皿 ym
𨢢	酉大 yd
𨢣	酉頁 yy
𨢥	酉又 yy
𨢦	酉貝 yb
𨢪	酉果 yg
𨢬	酉朩 ym
𨢵	酉示 yu
𨢿	酉十 yu
𨣁	酉口 yk
𨣃	酉力 yl
𨣄	酉𰀁 yf
𨣅	酉又 yy
𨣇	酉月 yo
𨣈	酉貝 yb
𨣍	酉日 yo
𨣕	酉皿 ym
𨣘	酉皿 ym
𨣙	酉包 yb
𨣚	酉旦 yd
𨣝	酉心 yx
𨣠	酉干 yg
𨣢	酉豕 yu
𨣦	酉八 yb
𨣨	酉皿 ym
𨣬	酉巴 yb
𨣯	酉目 yo
𨣱	酉丶 yd
𨤂	酉酉 yy
𨤃	酉臣 yi
𨤄	酉月 yo
𨤇	酉曰 yo
𨤎	酉皿 ym
𨤑	釆又 cy
𨤤	里也 ly
𨤫	亠里 wl
𨤷	里口 lk
𨤹	重木 vm
𨤽	金匕 jb
𨥂	金孑 jz
𨥇	金寸 jc
𨥍	金凶 jx
𨥙	金井 jj
𨥛	金互 jh
𨥧	金乏 jf
𨥨	金矛 jm
𨥪	金丶 jd
𨥶	金弋 jy
𨥸	金凶 jx
𨥺	金厶 js
𨦂	金乚 jv
𨦃	金木 jm
𨦗	金火 jh
𨦛	金犬 jq
𨦡	金羊 jy
𨦭	金牛 jn
𨦮	氵金 dj
𨦯	金殳 ju
𨦱	金夂 jw
𨦳	金口 jk
𨧐	金口 jk
𨧑	金工 jg
𨧕	金口 jk
𨧖	金木 jm
𨧙	金口 jk
𨧥	金二 je
𨧨	金内 jn
𨧪	金巾 jj
𨧫	金事 ju
𨧰	金北 jb
𨧱	金出 ji
𨧵	金𡈼 jw
𨨏	金皮 jp
𨨙	金幺 jy
𨨚	金火 jh
𨨛	金口 jk
𨨜	金乚 jv
𨨡	金⺀ jd
𨨭	金又 jy
𨨯	金天 jt
𨨱	金舌 ju
𨨲	金寸 jc
𨨳	金缶 jf
𨨶	金卩 je
𨨷	金犬 jq
𨨹	金耳 je
𨩥	金寸 jc
𨩦	金句 jj
𨩨	金旦 jd
𨩩	金目 jo
𨩪	金虫 ji
𨩫	金更 jg
𨩬	金大 jd
𨩯	金力 jl
𨩲	金口 jk
𨩴	金牙 jy
𨩵	金又 jy
𨩶	金寸 jc
𨩻	金夂 jw
𨩽	金𰀂 je
𨪅	金毛 jm
𨪈	金鬼 jg
𨪉	金几 jj
𨪊	金虫 ji
𨪌	金日 jo
𨪍	金女 jn
𨪏	金矢 ju
𨪑	金刂 jd
𨪒	金丂 jk
𨪕	金屮 jc
𨪶	金女 jn
𨪷	金⺼ jo
𨪹	金王 jw
𨪺	金百 jb
𨪾	金人 jr
𨫁	金又 jy
𨬁	金丶 jd
𨬍	金月 jo
𨬐	厂金 ij
𨬒	金攵 jw
𨬔	金王 jw
𨬕	金干 jg
𨬖	金子 jz
𨬗	金頁 jy
𨬚	金小 jx
𨭁	金氺 ju
𨭂	金人 jr
𨭃	金牙 jy
𨭅	金冉 jr
𨭆	金灬 jh
𨭓	金口 jk
𨭖	金旦 jd
𨭗	金日 jo
𨭚	金刂 jd
𨭛	金人 jr
𨭺	金示 ju
𨮂	金牛 jn
𨮒	金夕 jx
𨮔	金八 jb
𨮬	金寸 jc
𨮭	金斤 jj
𨮴	金儿 je
𨮸	金刂 jd
𨮹	金古 jg
𨮺	金日 jo
𨮻	金土 jt
𨮿	金日 jo
𨯓	金示 ju
𨯲	金頁 jy
𨯽	金禸 jn
𨰂	金灬 jh
𨰓	金月 jo
𨰛	金八 jb
𨰜	金寸 jc
𨰞	金非 jf
𨰠	金羊 jy
𨰦	金貝 jb
𨰭	金糸 jx
𨰾	钅马 jm
𨱎	钅刂 jd
𨱕	钅牛 jn
𨱙	E几 ej
𨱚	E殳 eu
𨱛	E公 eg
𨱜	E支 ev
𨱝	E攵 ew
𨱡	E氏 eu
𨱦	E出 ei
𨱧	E力 el
𨱫	E甘 eg
𨱭	E丂 ek
𨱮	E又 ey
𨱱	E母 em
𨱵	E兆 ev
𨱺	E廾 ec
𨱻	E口 ek
𨱿	E十 eu
𨲀	E廾 ec
𨲁	E小 ex
𨲄	E又 ey
𨲆	E⺝ eo
𨲉	E士 et
𨲊	E干 eg
𨲋	E十 eu
𨲎	E勿 ew
𨲐	E丕 ep
𨲑	E云 ey
𨲒	E⺢ eu
𨲓	E目 eo
𨲛	E自 ez
𨲜	E卄 ec
𨲞	E刂 ed
𨲟	E谷 eg
𨲧	E龰 ez
𨲪	E貝 eb
𨲫	E丰 ef
𨲬	E力 el
𨲭	E口 ek
𨲮	E力 el
𨲯	E日 eo
𨲰	E月 eo
𨲳	E辰 ei
𨲵	E旦 ed
𨲿	E貝 eb
𨳁	E龍 el
𨳆	E𧘇 ey
𨳊	門九 mj
𨳋	門几 mj
𨳑	門亡 mw
𨳕	門子 mz
𨳗	門公 mg
𨳘	門屯 mt
𨳙	門內 mn
𨳚	門分 mf
𨳛	門及 mj
𨳝	門壬 mw
𨳞	門丑 mi
𨳠	門㐅 mx
𨳣	門丂 mk
𨳲	門卜 mb
𨳷	門匕 mb
𨳺	門夫 mf
𨳼	門甘 mg
𨳿	門卜 mb
𨴆	門丁 md
𨴊	門矢 mu
𨴌	門⺕ me
𨴍	門牛 mn
𨴎	門而 me
𨴏	門口 mk
𨴐	門儿 me
𨴑	門王 mw
𨴓	門㔾 mv
𨴗	門土 mt
𨴘	門丑 mi
𨴛	門老 ml
𨴜	門月 mo
𨴞	門年 mn
𨴡	門兆 mv
𨴢	門夕 mx
𨴣	門女 mn
𨴩	門朩 mm
𨴪	門甫 mf
𨴬	門口 mk
𨴭	門用 my
𨴯	門豕 mu
𨴰	門乍 mv
𨴹	門子 mz
𨴺	門寸 mc
𨴻	門里 ml
𨴼	門見 mj
𨴾	門刂 md
𨵃	門儿 me
𨵄	門元 my
𨵆	門糸 mx
𨵈	門非 mf
𨵉	門干 mg
𨵊	門戈 mg
𨵋	門女 mn
𨵌	門可 mk
𨵍	門占 mv
𨵐	門殳 mu
𨵗	門卜 mb
𨵘	門几 mj
𨵚	門果 mg
𨵛	門月 mo
𨵞	門北 mb
𨵟	門又 my
𨵠	門土 mt
𨵡	門出 mi
𨵥	門目 mo
𨵦	門刂 md
𨵧	門口 mk
𨵪	門頁 my
𨵫	門口 mk
𨵬	門艮 mg
𨵭	門聿 my
𨵮	門重 mv
𨵰	門下 mx
𨵴	門干 mg
𨵸	門更 mg
𨶁	門女 mn
𨶂	門皿 mm
𨶅	門灬 mh
𨶆	門口 mk
𨶇	門灬 mh
𨶈	門口 mk
𨶗	門良 ml
𨶙	門匕 mb
𨶜	門斗 md
𨶝	門丸 mw
𨶟	門⺕ me
𨶠	門鳥 mn
𨶢	門魚 my
𨶨	門刂 md
𨶭	門灬 mh
𨶮	門䒑 mb
𨶯	門灬 mh
𨶰	門八 mb
𨶱	門𰀁 mf
𨶲	門灬 mh
𨶺	門水 mu
𨶽	尸王 uw
𨶿	門䒑 mb
𨷀	門口 mk
𨷁	門兀 mw
𨷃	門豕 mu
𨷇	門皿 mm
𨷐	門皿 mm
𨷔	門灬 mh
𨷘	門而 me
𨷙	門土 mt
𨷥	門夫 mf
𨷦	門止 mv
𨷩	門頁 my
𨷭	門土 mt
𨷮	門門 mm
𨷱	門糸 mx
𨷲	門卄 mc
𨷽	門皿 mm
𨷾	門門 mm
𨸐	⻖乃 en
𨸒	⻖九 ej
𨸓	⻖刀 ed
𨸔	⻖几 ej
𨸗	⻖干 eg
𨸘	⻖广 eg
𨸙	⻖⻏ ee
𨸚	⻖及 ej
𨸛	⻖气 eq
𨸜	⻖殳 eu
𨸝	⻖氏 eu
𨸩	⻖攵 ew
𨸬	⻖申 eu
𨸭	⻖口 ek
𨸯	⻖瓜 eg
𨸰	⻖九 ej
𨸱	⻖冉 er
𨸷	丿乙 pv
𨸺	⻖甲 ej
𨸻	⻖厶 es
𨸼	⻖必 eb
𨹀	⻖匕 eb
𨹁	⻖虫 ei
𨹃	⻖木 em
𨹈	⻖火 eh
𨹊	⻖人 er
𨹋	⻖王 ew
𨹌	⻖肉 er
𨹔	⻖巴 eb
𨹗	⻖开 ek
𨹘	⻖予 ey
𨹙	⻖口 ek
𨹚	⻖成 ei
𨹜	⻖䒑 eb
𨹝	⻖巴 eb
𨹡	⻖土 et
𨹵	⻖㔾 ev
𨹸	⻖土 et
𨹹	⻖月 eo
𨹻	⻖八 eb
𨺖	⻖尤 ey
𨺘	⻖止 ev
𨺝	⻖又 ey
𨺟	⻖貝 eb
𨺠	⻖目 eo
𨺢	⻖風 ef
𨺣	⻖殳 eu
𨺥	⻖兄 ex
𨺧	⻖酉 ey
𨺩	⻖聿 ey
𨺭	⻖百 eb
𨺮	⻖夂 ew
𨺵	丿豕 pu
𨺸	⻖卩 ee
𨺹	⻖火 eh
𨺿	⻖女 en
𨻁	⻖心 ex
𨻂	⻖女 en
𨻃	⻖非 ef
𨻆	⻖几 ej
𨻊	⻖土 et
𨻌	⻖人 er
𨻍	⻖示 eu
𨻏	丿土 pt
𨻖	⻖攵 ew
𨻗	⻖木 em
𨻣	⻖小 ex
𨻧	⻖田 et
𨻱	⻖月 eo
𨻲	⻖乎 eh
𨻳	⻖灬 eh
𨻷	⻖隶 el
𨻺	⻖頁 ey
𨻻	⻖女 en
𨼈	⻖口 ek
𨼉	⻖乙 ev
𨼊	⻖灬 eh
𨼋	⻖业 ey
𨼌	⻖欠 eq
𨼑	⻖日 eo
𨼒	⻖十 eu
𨼓	⻖日 eo
𨼔	⻖寸 ec
𨼤	⻖欠 eq
𨼥	⻖又 ey
𨼪	⻖疋 ez
𨼬	⻖牛 en
𨼮	⻖口 ek
𨼿	⻖豕 eu
𨽀	⻖犬 eq
𨽂	⻖夫 ef
𨽉	⻖日 eo
𨽊	⻖儿 ee
𨽍	⻖貝 eb
𨽏	⻖八 eb
𨽐	⻖儿 ee
𨽑	⻖彡 ep
𨽗	⻖頁 ey
𨽟	⻖貝 eb
𨽦	⻖耳 ee
𨽯	⻖人 er
𨽲	⻖人 er
𨽻	匕隶 bl
𨾻	亻力 rl
𨿇	亻肉 rr
𨿛	亻巾 rj
𩁷	雨丁 yd
𩁺	雨彡 yp
𩂂	雨勿 yw
𩂃	雨夬 yg
𩂄	雨屯 yt
𩂆	雨不 yb
𩂈	雨心 yx
𩂉	雨天 yt
𩂍	雨水 yu
𩂎	雨父 yf
𩂒	雨巳 ys
𩂓	雨冬 yd
𩂕	雨弗 yf
𩂖	雨乍 yv
𩂗	雨出 yi
𩂙	雨夕 yx
𩂝	雨史 yu
𩂞	雨卩 ye
𩂣	雨口 yk
𩂤	雨舟 yv
𩂥	雨因 yy
𩂦	雨开 yk
𩂧	雨㇉ yv
𩂨	雨井 yj
𩂫	雨夂 yw
𩂵	雨巳 ys
𩂹	雨殳 yu
𩂼	雨更 yg
𩂽	雨廾 yc
𩂿	雨口 yk
𩃀	雨正 yv
𩃁	雨又 yy
𩃃	雨夂 yw
𩃋	雨彡 yp
𩃎	雨方 yf
𩃐	雨氐 yu
𩃒	雨士 yt
𩃕	雨木 ym
𩃘	雨丶 yd
𩃙	雨大 yd
𩃚	雨玄 yx
𩃜	雨立 yl
𩃠	雨内 yn
𩃡	雨𦥔 yj
𩃬	雨㇇ yv
𩃭	雨公 yg
𩃯	雨灬 yh
𩃱	雨匕 yb
𩃵	雨木 ym
𩃷	雨弋 yy
𩃺	雨矢 yu
𩃾	雨虫 yi
𩄊	雨十 yu
𩄋	雨而 ye
𩄗	雨乎 yh
𩄘	雨习 yx
𩄚	雨八 yb
𩄛	雨車 yi
𩄜	雨糸 yx
𩄝	雨工 yg
𩄠	雨八 yb
𩄡	雨兼 yj
𩄦	雨丰 yf
𩄪	雨火 yh
𩄬	雨儿 ye
𩄮	雨艮 yg
𩄷	雨占 yv
𩄺	雨廾 yc
𩄻	雨大 yd
𩄼	雨非 yf
𩄽	雨女 yn
𩄾	雨貝 yb
𩅀	雨丸 yw
𩅁	雨廾 yc
𩅃	雨示 yu
